City,Name,Category,Address,Phone,Website,Email,Rating,Reviews,Working Hours,Price Level,Google Maps URL
"Cordoba","Dada Store Mini Bar","Bar","Dr. T. Achaval Rodriguez 250, X5000 Córdoba","0351 228-4394","http://dadamini.com.ar/","","4.3","","","","https://www.google.com/maps/place/Dada+Store+Mini+Bar/@-31.4100271,-64.1915667,14z/data=!4m10!1m2!2m1!1sbares+in+Cordoba,+Argentina!3m6!1s0x9432a28628aede3b:0x6d2cdb8b5ec8163a!8m2!3d-31.4241046!4d-64.1912994!15sChtiYXJlcyBpbiBDb3Jkb2JhLCBBcmdlbnRpbmFaHCIaYmFyZXMgaW4gY29yZG9iYSBhcmdlbnRpbmGSAQNiYXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmlhV1V5YWs1UkVBReABAPoBBAgAEDw!16s%2Fg%2F1tyyy65n?hl=en&entry=ttu&g_ep=EgoyMDI2MDcyOS4wIKXMDSoASAFQAw%3D%3D"
"Cordoba","Vidón [Nueva Córdoba]","Bar","Dr. T. Achaval Rodriguez 152, X5000BKD Córdoba","0351 279-2796","https://www.instagram.com/vidonbar","","4.4","","","","https://www.google.com/maps/place/Vid%C3%B3n+%E2%80%93+%CA%99%E1%B4%80%CA%80+%5BNueva+C%C3%B3rdoba%5D/@-31.4241046,-64.2273483,14z/data=!4m10!1m2!2m1!1sbares+in+Cordoba,+Argentina!3m6!1s0x9432a288a562763b:0xc03243d12aee87e8!8m2!3d-31.4248415!4d-64.1899525!15sChtiYXJlcyBpbiBDb3Jkb2JhLCBBcmdlbnRpbmFaHCIaYmFyZXMgaW4gY29yZG9iYSBhcmdlbnRpbmGSAQNiYXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBTU0ZveVVrcGliR1ExV2tad05HUXpVbFZWTTFVelRWWlNlazlXUlJBQuABAPoBBAgAEEo!16s%2Fg%2F11f24w9t7s?hl=en&entry=ttu&g_ep=EgoyMDI2MDcyOS4wIKXMDSoASAFQAw%3D%3D"
"Cordoba","Temple Córdoba","Bar","Belgrano 838, X5000BKE Córdoba","0351 15-310-4750","https://temple.com.ar/","palermo@temple.com.ar","4.1","","","","https://www.google.com/maps/place/Temple+C%C3%B3rdoba/@-31.4241046,-64.2273483,14z/data=!4m10!1m2!2m1!1sbares+in+Cordoba,+Argentina!3m6!1s0x9432a36cc896e3c1:0xbd2ca11206118646!8m2!3d-31.424692!4d-64.1924447!15sChtiYXJlcyBpbiBDb3Jkb2JhLCBBcmdlbnRpbmFaHCIaYmFyZXMgaW4gY29yZG9iYSBhcmdlbnRpbmGSAQNiYXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBKZUZZeWVIRmlNMmgyVm14WmVsUlhPWFZhUjJSS1drUkNlV05YWXhBQuABAPoBBQiMCBA7!16s%2Fg%2F11j3wxsstg?hl=en&entry=ttu&g_ep=EgoyMDI2MDcyOS4wIKXMDSoASAFQAw%3D%3D"
"Cordoba","Fruta Bar Nueva Córdoba","Bar","San Lorenzo 288, X5000 AZF, Córdoba","0351 212-2377","https://www.instagram.com/frutabar.nvacba?igsh=MWg5ZXQzYjVpdmRiag==","","4.1","","","","https://www.google.com/maps/place/Fruta+Bar+Nueva+C%C3%B3rdoba/@-31.4241046,-64.2273483,14z/data=!4m10!1m2!2m1!1sbares+in+Cordoba,+Argentina!3m6!1s0x9432a375ed0b6b27:0x2e6e42d5d8134fda!8m2!3d-31.4243311!4d-64.1836597!15sChtiYXJlcyBpbiBDb3Jkb2JhLCBBcmdlbnRpbmFaHCIaYmFyZXMgaW4gY29yZG9iYSBhcmdlbnRpbmGSAQNiYXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhPZW1ReU5YQlhSemxEVDFkT2NGUllSbmhTTVVrellVZFdVbGR1WXhBQuABAPoBBAgAEDk!16s%2Fg%2F11k4hmts4f?hl=en&entry=ttu&g_ep=EgoyMDI2MDcyOS4wIKXMDSoASAFQAw%3D%3D"
"Cordoba","X-BAR","Bar","M.T. de Alvear 360, Centro, Av. Marcelo T. de Alvear 360, X5000 Córdoba","0351 304-3715","http://www.facebook.com/xbarcordoba","","4.4","","","","https://www.google.com/maps/place/X-BAR%C2%AE/@-31.4241046,-64.2273483,14z/data=!4m10!1m2!2m1!1sbares+in+Cordoba,+Argentina!3m6!1s0x9432a286b338d8fb:0x1207a584f6129eb!8m2!3d-31.4189848!4d-64.1902077!15sChtiYXJlcyBpbiBDb3Jkb2JhLCBBcmdlbnRpbmFaHCIaYmFyZXMgaW4gY29yZG9iYSBhcmdlbnRpbmGSAQNiYXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm9PSE15TVU1UkVBReABAPoBBAgAEDc!16s%2Fg%2F11b8t89rzr?hl=en&entry=ttu&g_ep=EgoyMDI2MDcyOS4wIKXMDSoASAFQAw%3D%3D"
"Cordoba","COLORES SANTOS - Resto & Bar","Gastropub","Buenos Aires 680, X5000 Córdoba","0351 373-7383","https://www.facebook.com/Colores.Santos.Bar/?fref=ts","","4.2","","","","https://www.google.com/maps/place/COLORES+SANTOS+-+Resto+%26+Bar/@-31.4241046,-64.2273483,14z/data=!4m10!1m2!2m1!1sbares+in+Cordoba,+Argentina!3m6!1s0x9432a28f760ac0d9:0xf0f7a38b0ffe9c41!8m2!3d-31.4244382!4d-64.1864063!15sChtiYXJlcyBpbiBDb3Jkb2JhLCBBcmdlbnRpbmFaHCIaYmFyZXMgaW4gY29yZG9iYSBhcmdlbnRpbmGSAQlnYXN0cm9wdWKaASNDaFpEU1VoTk1HOW5TMFZLZGpZNFptbHJPVGx4TUZaQkVBReABAPoBBQiaARBC!16s%2Fg%2F11ckncn0fq?hl=en&entry=ttu&g_ep=EgoyMDI2MDcyOS4wIKXMDSoASAFQAw%3D%3D"
"Cordoba","ARCHI CORDOBA","Cocktail bar","Dr. T. Achaval Rodriguez 244, X5000 Córdoba","0351 389-7983","https://www.instagram.com/archicoctel/?hl=es-la","","4.5","","","","https://www.google.com/maps/place/ARCHI+%E2%80%A2+CORDOBA/@-31.4241046,-64.2273483,14z/data=!4m10!1m2!2m1!1sbares+in+Cordoba,+Argentina!3m6!1s0x9432a39297ded025:0x58a7a4353cdbae0d!8m2!3d-31.4240719!4d-64.1912108!15sChtiYXJlcyBpbiBDb3Jkb2JhLCBBcmdlbnRpbmFaHCIaYmFyZXMgaW4gY29yZG9iYSBhcmdlbnRpbmGSAQxjb2NrdGFpbF9iYXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmFPRTh0WlUxM0VBReABAPoBBAhcEDg!16s%2Fg%2F11gr5_074y?hl=en&entry=ttu&g_ep=EgoyMDI2MDcyOS4wIKXMDSoASAFQAw%3D%3D"
"Cordoba","Vidón [Nueva Córdoba]","Bar","Dr. T. Achaval Rodriguez 152, X5000BKD Córdoba","0351 279-2796","https://www.instagram.com/vidonbar","","4.4","","","","https://www.google.com/maps/place/Vid%C3%B3n+%E2%80%93+%CA%99%E1%B4%80%CA%80+%5BNueva+C%C3%B3rdoba%5D/@-31.4241046,-64.2273483,14z/data=!4m10!1m2!2m1!1sbares+in+Cordoba,+Argentina!3m6!1s0x9432a288a562763b:0xc03243d12aee87e8!8m2!3d-31.4248415!4d-64.1899525!15sChtiYXJlcyBpbiBDb3Jkb2JhLCBBcmdlbnRpbmFaHCIaYmFyZXMgaW4gY29yZG9iYSBhcmdlbnRpbmGSAQNiYXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBTU0ZveVVrcGliR1ExV2tad05HUXpVbFZWTTFVelRWWlNlazlXUlJBQuABAPoBBAgAEEo!16s%2Fg%2F11f24w9t7s?hl=en&entry=ttu&g_ep=EgoyMDI2MDcyOS4wIKXMDSoASAFQAw%3D%3D"
"Cordoba","X-BAR","Bar","M.T. de Alvear 360, Centro, Av. Marcelo T. de Alvear 360, X5000 Córdoba","0351 304-3715","http://www.facebook.com/xbarcordoba","","4.4","","","","https://www.google.com/maps/place/X-BAR%C2%AE/@-31.4241046,-64.2273483,14z/data=!4m10!1m2!2m1!1sbares+in+Cordoba,+Argentina!3m6!1s0x9432a286b338d8fb:0x1207a584f6129eb!8m2!3d-31.4189848!4d-64.1902077!15sChtiYXJlcyBpbiBDb3Jkb2JhLCBBcmdlbnRpbmFaHCIaYmFyZXMgaW4gY29yZG9iYSBhcmdlbnRpbmGSAQNiYXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm9PSE15TVU1UkVBReABAPoBBAgAEDc!16s%2Fg%2F11b8t89rzr?hl=en&entry=ttu&g_ep=EgoyMDI2MDcyOS4wIKXMDSoASAFQAw%3D%3D"
"Cordoba","ARCHI CORDOBA","Cocktail bar","Dr. T. Achaval Rodriguez 244, X5000 Córdoba","0351 389-7983","https://www.instagram.com/archicoctel/?hl=es-la","","4.5","","","","https://www.google.com/maps/place/ARCHI+%E2%80%A2+CORDOBA/@-31.4241046,-64.2273483,14z/data=!4m10!1m2!2m1!1sbares+in+Cordoba,+Argentina!3m6!1s0x9432a39297ded025:0x58a7a4353cdbae0d!8m2!3d-31.4240719!4d-64.1912108!15sChtiYXJlcyBpbiBDb3Jkb2JhLCBBcmdlbnRpbmFaHCIaYmFyZXMgaW4gY29yZG9iYSBhcmdlbnRpbmGSAQxjb2NrdGFpbF9iYXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmFPRTh0WlUxM0VBReABAPoBBAhcEDg!16s%2Fg%2F11gr5_074y?hl=en&entry=ttu&g_ep=EgoyMDI2MDcyOS4wIKXMDSoASAFQAw%3D%3D"
